384 mention-family series eligible; window close >= 2026-08-25 .. 2026-09-02
281 tickers already recorded by this theory will be skipped (ledger dedup includes run_mode, so recording them again would double-count)
  KXLEAVITTMENTION                  2 survivors
  KXALLINMENTION                   12 survivors
  KXEARNINGSMENTIONCRWD            17 survivors
  KXTRUMPSAY                       31 survivors
  KXTRUMPACT                       11 survivors
  KXPSAKIMENTION                   37 survivors
  KXGOVERNORMENTION                10 survivors
  KXVANCEMENTION                   28 survivors
  KXEARNINGSMENTIONCRM             14 survivors
  KXEARNINGSMENTIONURBN            14 survivors
  KXEARNINGSMENTIONULTA            16 survivors
  KXWARSHMENTION                   28 survivors
  KXBERNIEMENTION                  37 survivors
  KXEARNINGSMENTIONMDT             11 survivors
  KXTRUMPMENTION                  116 survivors
  KXMTPMENTION                     14 survivors
  KXLASTWORDMENTION                34 survivors
  KXFOXSATMENTION                  15 survivors
  KXPOLITICSMENTION                27 survivors
  KXEARNINGSMENTIONINTU            14 survivors
  KXEARNINGSMENTIONZM              12 survivors
  KXFTNMENTION                     11 survivors
  KXMAMDANIMENTION                 67 survivors
  KXWORLDNEWSMENTION               96 survivors
  KXEARNINGSMENTIONNVDA            19 survivors
  KXEARNINGSMENTIONMRVL            14 survivors
  KXEARNINGSMENTIONPANW            11 survivors
  KXWATTERSMENTION                 27 survivors
  KXTRUMPMENTIONB                  54 survivors
  KXAOCMENTION                     16 survivors
  KXEARNINGSMENTIONDKS             13 survivors

828 survivors across 31 series with any
