legs,series,n_captures,min_leg_volume,min_leg_oi,max_leg_oi,distinct_costs,cost,profit_floor
KXNCAAMBWINS-26SJU-24 + KXNCAAMBWINS-26SJU-27,,14,6.0,6.0,28.82,3,0.91,0.0353
KXNASDAQ100MINY-26DEC31H1600-T22600.01 + KXNASDAQ100MINY-26DEC31H1600-T22800.01,,5,3918.29,2387.9,5141.68,2,0.89,0.057
USCLIMATE-2025 + USCLIMATE-2030,,4,11596.24,2263.45,7187.55,3,0.938,0.0414
KXWTAGTOTAL-26AUG30SNISHN-17 + KXWTAGTOTAL-26AUG30SNISHN-22,,2,0.0,0.0,60.21,2,0.71,0.2545
KXWTAGTOTAL-26AUG30GIBVEK-18 + KXWTAGTOTAL-26AUG30GIBVEK-23,,1,0.0,0.0,0.0,1,0.68,0.2948
KXWTAGTOTAL-26AUG30RAKKRE-15 + KXWTAGTOTAL-26AUG30RAKKRE-20,,1,0.11,0.11,0.11,1,0.55,0.425
KXWTAGTOTAL-26AUG30RAKKRE-15 + KXWTAGTOTAL-26AUG30RAKKRE-25,,1,0.0,0.0,0.11,1,0.96,0.0222
KXWTAGTOTAL-26AUG30BEJBUC-16 + KXWTAGTOTAL-26AUG30BEJBUC-26,,1,0.0,0.0,0.0,1,0.53,0.4492
KXWTAGTOTAL-26AUG30BEJBUC-21 + KXWTAGTOTAL-26AUG30BEJBUC-26,,1,0.0,0.0,0.0,1,0.52,0.4592
KXWTAGTOTAL-26AUG30KEYKOR-17 + KXWTAGTOTAL-26AUG30KEYKOR-22,,1,0.03,0.02,457.96,1,0.78,0.1907
KXWTAGTOTAL-26AUG30PODWAL-17 + KXWTAGTOTAL-26AUG30PODWAL-22,,1,0.0,0.0,2.0,1,0.67,0.3041
KXWTAGTOTAL-26AUG30PODWAL-17 + KXWTAGTOTAL-26AUG30PODWAL-27,,1,0.0,0.0,2.0,1,0.95,0.0308
KXWTAGTOTAL-26AUG31RUSJEA-17 + KXWTAGTOTAL-26AUG31RUSJEA-22,,1,0.01,0.01,6.92,1,0.67,0.3041
KXWTAGTOTAL-26AUG31LINJON-18 + KXWTAGTOTAL-26AUG31LINJON-23,,1,0.0,0.0,0.01,1,0.73,0.2423
KXWTAGTOTAL-26SEP02DARBOU-15 + KXWTAGTOTAL-26SEP02DARBOU-20,,1,0.0,0.0,0.0,1,0.67,0.3041
KXWTAGTOTAL-26SEP02WANKAL-16 + KXWTAGTOTAL-26SEP02WANKAL-21,,1,0.0,0.0,0.01,1,0.69,0.2827
